code,name,kind,sido,sigungu,region_code,executive_code,aliases
LG-11620,서울특별시 관악구,local_gov,서울특별시,관악구,11620,,
CN-11620,서울특별시 관악구의회,council,서울특별시,관악구,11620,LG-11620,
LG-11650,서울특별시 서초구,local_gov,서울특별시,서초구,11650,,
CN-11650,서울특별시 서초구의회,council,서울특별시,서초구,11650,LG-11650,
LG-11680,서울특별시 강남구,local_gov,서울특별시,강남구,11680,,강남구청|서울 강남구|서울시 강남구|강남구
CN-11680,서울특별시 강남구의회,council,서울특별시,강남구,11680,LG-11680,강남구의회|서울 강남구의회
LG-11710,서울특별시 송파구,local_gov,서울특별시,송파구,11710,,
CN-11710,서울특별시 송파구의회,council,서울특별시,송파구,11710,LG-11710,
LG-11740,서울특별시 강동구,local_gov,서울특별시,강동구,11740,,
CN-11740,서울특별시 강동구의회,council,서울특별시,강동구,11740,LG-11740,
LG-26000,부산광역시,local_gov,부산광역시,,26000,,부산시청|부산광역시청|부산시
CN-26000,부산광역시의회,council,부산광역시,,26000,LG-26000,
EO-26000,부산광역시교육청,education_office,부산광역시,,26000,,
LG-26110,부산광역시 중구,local_gov,부산광역시,중구,26110,,부산 중구|부산중구청
CN-26110,부산광역시 중구의회,council,부산광역시,중구,26110,LG-26110,
LG-26140,부산광역시 서구,local_gov,부산광역시,서구,26140,,
CN-26140,부산광역시 서구의회,council,부산광역시,서구,26140,LG-26140,
LG-26170,부산광역시 동구,local_gov,부산광역시,동구,26170,,부산 동구
CN-26170,부산광역시 동구의회,council,부산광역시,동구,26170,LG-26170,
LG-26200,부산광역시 영도구,local_gov,부산광역시,영도구,26200,,
CN-26200,부산광역시 영도구의회,council,부산광역시,영도구,26200,LG-26200,
LG-26230,부산광역시 부산진구,local_gov,부산광역시,부산진구,26230,,부산진구청|부산진구
CN-26230,부산광역시 부산진구의회,council,부산광역시,부산진구,26230,LG-26230,
LG-26260,부산광역시 동래구,local_gov,부산광역시,동래구,26260,,
CN-26260,부산광역시 동래구의회,council,부산광역시,동래구,26260,LG-26260,
LG-26290,부산광역시 남구,local_gov,부산광역시,남구,26290,,
CN-26290,부산광역시 남구의회,council,부산광역시,남구,26290,LG-26290,
LG-26320,부산광역시 북구,local_gov,부산광역시,북구,26320,,
CN-26320,부산광역시 북구의회,council,부산광역시,북구,26320,LG-26320,
LG-26350,부산광역시 해운대구,local_gov,부산광역시,해운대구,26350,,해운대구청|해운대구|부산 해운대구
CN-26350,부산광역시 해운대구의회,council,부산광역시,해운대구,26350,LG-26350,해운대구의회
LG-26380,부산광역시 사하구,local_gov,부산광역시,사하구,26380,,
CN-26380,부산광역시 사하구의회,council,부산광역시,사하구,26380,LG-26380,
LG-26410,부산광역시 금정구,local_gov,부산광역시,금정구,26410,,
CN-26410,부산광역시 금정구의회,council,부산광역시,금정구,26410,LG-26410,
LG-26440,부산광역시 강서구,local_gov,부산광역시,강서구,26440,,
CN-26440,부산광역시 강서구의회,council,부산광역시,강서구,26440,LG-26440,
LG-26470,부산광역시 연제구,local_gov,부산광역시,연제구,26470,,
CN-26470,부산광역시 연제구의회,council,부산광역시,연제구,26470,LG-26470,
LG-26500,부산광역시 수영구,local_gov,부산광역시,수영구,26500,,
CN-26500,부산광역시 수영구의회,council,부산광역시,수영구,26500,LG-26500,
LG-26530,부산광역시 사상구,local_gov,부산광역시,사상구,26530,,
CN-26530,부산광역시 사상구의회,council,부산광역시,사상구,26530,LG-26530,
LG-26710,부산광역시 기장군,local_gov,부산광역시,기장군,26710,,
CN-26710,부산광역시 기장군의회,council,부산광역시,기장군,26710,LG-26710,
LG-27000,대구광역시,local_gov,대구광역시,,27000,,
CN-27000,대구광역시의회,council,대구광역시,,27000,LG-27000,
EO-27000,대구광역시교육청,education_office,대구광역시,,27000,,
LG-27110,대구광역시 중구,local_gov,대구광역시,중구,27110,,대구 중구|대구중구청
CN-27110,대구광역시 중구의회,council,대구광역시,중구,27110,LG-27110,
LG-27140,대구광역시 동구,local_gov,대구광역시,동구,27140,,대구 동구
CN-27140,대구광역시 동구의회,council,대구광역시,동구,27140,LG-27140,
LG-27170,대구광역시 서구,local_gov,대구광역시,서구,27170,,
CN-27170,대구광역시 서구의회,council,대구광역시,서구,27170,LG-27170,
LG-27200,대구광역시 남구,local_gov,대구광역시,남구,27200,,
CN-27200,대구광역시 남구의회,council,대구광역시,남구,27200,LG-27200,
LG-27230,대구광역시 북구,local_gov,대구광역시,북구,27230,,
CN-27230,대구광역시 북구의회,council,대구광역시,북구,27230,LG-27230,
LG-27260,대구광역시 수성구,local_gov,대구광역시,수성구,27260,,
CN-27260,대구광역시 수성구의회,council,대구광역시,수성구,27260,LG-27260,
LG-27290,대구광역시 달서구,local_gov,대구광역시,달서구,27290,,
CN-27290,대구광역시 달서구의회,council,대구광역시,달서구,27290,LG-27290,
LG-27710,대구광역시 달성군,local_gov,대구광역시,달성군,27710,,
CN-27710,대구광역시 달성군의회,council,대구광역시,달성군,27710,LG-27710,
LG-27720,대구광역시 군위군,local_gov,대구광역시,군위군,27720,,
CN-27720,대구광역시 군위군의회,council,대구광역시,군위군,27720,LG-27720,
LG-28000,인천광역시,local_gov,인천광역시,,28000,,
CN-28000,인천광역시의회,council,인천광역시,,28000,LG-28000,
EO-28000,인천광역시교육청,education_office,인천광역시,,28000,,
LG-28110,인천광역시 중구,local_gov,인천광역시,중구,28110,,인천 중구|인천중구청
CN-28110,인천광역시 중구의회,council,인천광역시,중구,28110,LG-28110,
LG-28140,인천광역시 동구,local_gov,인천광역시,동구,28140,,
CN-28140,인천광역시 동구의회,council,인천광역시,동구,28140,LG-28140,
LG-28177,인천광역시 미추홀구,local_gov,인천광역시,미추홀구,28177,,
CN-28177,인천광역시 미추홀구의회,council,인천광역시,미추홀구,28177,LG-28177,
LG-28185,인천광역시 연수구,local_gov,인천광역시,연수구,28185,,연수구청|연수구|인천 연수구
CN-28185,인천광역시 연수구의회,council,인천광역시,연수구,28185,LG-28185,연수구의회
LG-28200,인천광역시 남동구,local_gov,인천광역시,남동구,28200,,
CN-28200,인천광역시 남동구의회,council,인천광역시,남동구,28200,LG-28200,
LG-28237,인천광역시 부평구,local_gov,인천광역시,부평구,28237,,
CN-28237,인천광역시 부평구의회,council,인천광역시,부평구,28237,LG-28237,
LG-28245,인천광역시 계양구,local_gov,인천광역시,계양구,28245,,
CN-28245,인천광역시 계양구의회,council,인천광역시,계양구,28245,LG-28245,
LG-28260,인천광역시 서구,local_gov,인천광역시,서구,28260,,
CN-28260,인천광역시 서구의회,council,인천광역시,서구,28260,LG-28260,
LG-28710,인천광역시 강화군,local_gov,인천광역시,강화군,28710,,
CN-28710,인천광역시 강화군의회,council,인천광역시,강화군,28710,LG-28710,
LG-28720,인천광역시 옹진군,local_gov,인천광역시,옹진군,28720,,
CN-28720,인천광역시 옹진군의회,council,인천광역시,옹진군,28720,LG-28720,
LG-29000,광주광역시,local_gov,광주광역시,,29000,,
CN-29000,광주광역시의회,council,광주광역시,,29000,LG-29000,
EO-29000,광주광역시교육청,education_office,광주광역시,,29000,,
LG-29110,광주광역시 동구,local_gov,광주광역시,동구,29110,,광주 동구
CN-29110,광주광역시 동구의회,council,광주광역시,동구,29110,LG-29110,
LG-29140,광주광역시 서구,local_gov,광주광역시,서구,29140,,
CN-29140,광주광역시 서구의회,council,광주광역시,서구,29140,LG-29140,
LG-29155,광주광역시 남구,local_gov,광주광역시,남구,29155,,
CN-29155,광주광역시 남구의회,council,광주광역시,남구,29155,LG-29155,
LG-29170,광주광역시 북구,local_gov,광주광역시,북구,29170,,
CN-29170,광주광역시 북구의회,council,광주광역시,북구,29170,LG-29170,
LG-29200,광주광역시 광산구,local_gov,광주광역시,광산구,29200,,
CN-29200,광주광역시 광산구의회,council,광주광역시,광산구,29200,LG-29200,
LG-30000,대전광역시,local_gov,대전광역시,,30000,,
CN-30000,대전광역시의회,council,대전광역시,,30000,LG-30000,
EO-30000,대전광역시교육청,education_office,대전광역시,,30000,,
LG-30110,대전광역시 동구,local_gov,대전광역시,동구,30110,,대전 동구
CN-30110,대전광역시 동구의회,council,대전광역시,동구,30110,LG-30110,
LG-30140,대전광역시 중구,local_gov,대전광역시,중구,30140,,대전 중구|대전중구청
CN-30140,대전광역시 중구의회,council,대전광역시,중구,30140,LG-30140,
LG-30170,대전광역시 서구,local_gov,대전광역시,서구,30170,,
CN-30170,대전광역시 서구의회,council,대전광역시,서구,30170,LG-30170,
LG-30200,대전광역시 유성구,local_gov,대전광역시,유성구,30200,,유성구청|유성구|대전 유성구
CN-30200,대전광역시 유성구의회,council,대전광역시,유성구,30200,LG-30200,유성구의회
LG-30230,대전광역시 대덕구,local_gov,대전광역시,대덕구,30230,,
CN-30230,대전광역시 대덕구의회,council,대전광역시,대덕구,30230,LG-30230,
LG-31000,울산광역시,local_gov,울산광역시,,31000,,
CN-31000,울산광역시의회,council,울산광역시,,31000,LG-31000,
EO-31000,울산광역시교육청,education_office,울산광역시,,31000,,
LG-31110,울산광역시 중구,local_gov,울산광역시,중구,31110,,울산 중구|울산중구청
CN-31110,울산광역시 중구의회,council,울산광역시,중구,31110,LG-31110,
LG-31140,울산광역시 남구,local_gov,울산광역시,남구,31140,,
CN-31140,울산광역시 남구의회,council,울산광역시,남구,31140,LG-31140,
LG-31170,울산광역시 동구,local_gov,울산광역시,동구,31170,,울산 동구
CN-31170,울산광역시 동구의회,council,울산광역시,동구,31170,LG-31170,
LG-31200,울산광역시 북구,local_gov,울산광역시,북구,31200,,
CN-31200,울산광역시 북구의회,council,울산광역시,북구,31200,LG-31200,
LG-31710,울산광역시 울주군,local_gov,울산광역시,울주군,31710,,
CN-31710,울산광역시 울주군의회,council,울산광역시,울주군,31710,LG-31710,
EO-36000,세종특별자치시교육청,education_office,세종특별자치시,,36000,,
LG-36110,세종특별자치시,local_gov,세종특별자치시,,36110,,세종시청|세종특별자치시청|세종시
CN-36110,세종특별자치시의회,council,세종특별자치시,,36110,LG-36110,세종시의회
LG-41000,경기도,local_gov,경기도,,41000,,경기도청
CN-41000,경기도의회,council,경기도,,41000,LG-41000,
EO-41000,경기도교육청,education_office,경기도,,41000,,경기교육청|경기도 교육청
LG-41110,경기도 수원시,local_gov,경기도,수원시,41110,,수원시청|수원시|수원특례시|수원특례시청
CN-41110,경기도 수원시의회,council,경기도,수원시,41110,LG-41110,수원시의회|수원특례시의회
LG-41130,경기도 성남시,local_gov,경기도,성남시,41130,,성남시청|성남시
CN-41130,경기도 성남시의회,council,경기도,성남시,41130,LG-41130,성남시의회
LG-41150,경기도 의정부시,local_gov,경기도,의정부시,41150,,
CN-41150,경기도 의정부시의회,council,경기도,의정부시,41150,LG-41150,
LG-41170,경기도 안양시,local_gov,경기도,안양시,41170,,
CN-41170,경기도 안양시의회,council,경기도,안양시,41170,LG-41170,
LG-41190,경기도 부천시,local_gov,경기도,부천시,41190,,
CN-41190,경기도 부천시의회,council,경기도,부천시,41190,LG-41190,
LG-41210,경기도 광명시,local_gov,경기도,광명시,41210,,
CN-41210,경기도 광명시의회,council,경기도,광명시,41210,LG-41210,
LG-41220,경기도 평택시,local_gov,경기도,평택시,41220,,
CN-41220,경기도 평택시의회,council,경기도,평택시,41220,LG-41220,
LG-41250,경기도 동두천시,local_gov,경기도,동두천시,41250,,
CN-41250,경기도 동두천시의회,council,경기도,동두천시,41250,LG-41250,
LG-41270,경기도 안산시,local_gov,경기도,안산시,41270,,
CN-41270,경기도 안산시의회,council,경기도,안산시,41270,LG-41270,
LG-41280,경기도 고양시,local_gov,경기도,고양시,41280,,고양특례시|고양특례시청
CN-41280,경기도 고양시의회,council,경기도,고양시,41280,LG-41280,고양특례시의회
LG-41290,경기도 과천시,local_gov,경기도,과천시,41290,,
CN-41290,경기도 과천시의회,council,경기도,과천시,41290,LG-41290,
LG-41310,경기도 구리시,local_gov,경기도,구리시,41310,,
CN-41310,경기도 구리시의회,council,경기도,구리시,41310,LG-41310,
LG-41360,경기도 남양주시,local_gov,경기도,남양주시,41360,,
CN-41360,경기도 남양주시의회,council,경기도,남양주시,41360,LG-41360,
LG-41370,경기도 오산시,local_gov,경기도,오산시,41370,,
CN-41370,경기도 오산시의회,council,경기도,오산시,41370,LG-41370,
LG-41390,경기도 시흥시,local_gov,경기도,시흥시,41390,,
CN-41390,경기도 시흥시의회,council,경기도,시흥시,41390,LG-41390,
LG-41410,경기도 군포시,local_gov,경기도,군포시,41410,,
CN-41410,경기도 군포시의회,council,경기도,군포시,41410,LG-41410,
LG-41430,경기도 의왕시,local_gov,경기도,의왕시,41430,,
CN-41430,경기도 의왕시의회,council,경기도,의왕시,41430,LG-41430,
LG-41450,경기도 하남시,local_gov,경기도,하남시,41450,,
CN-41450,경기도 하남시의회,council,경기도,하남시,41450,LG-41450,
LG-41460,경기도 용인시,local_gov,경기도,용인시,41460,,용인특례시|용인특례시청
CN-41460,경기도 용인시의회,council,경기도,용인시,41460,LG-41460,용인특례시의회
LG-41480,경기도 파주시,local_gov,경기도,파주시,41480,,
CN-41480,경기도 파주시의회,council,경기도,파주시,41480,LG-41480,
LG-41500,경기도 이천시,local_gov,경기도,이천시,41500,,
CN-41500,경기도 이천시의회,council,경기도,이천시,41500,LG-41500,
LG-41550,경기도 안성시,local_gov,경기도,안성시,41550,,
CN-41550,경기도 안성시의회,council,경기도,안성시,41550,LG-41550,
LG-41570,경기도 김포시,local_gov,경기도,김포시,41570,,
CN-41570,경기도 김포시의회,council,경기도,김포시,41570,LG-41570,
LG-41590,경기도 화성시,local_gov,경기도,화성시,41590,,화성특례시|화성특례시청
CN-41590,경기도 화성시의회,council,경기도,화성시,41590,LG-41590,화성특례시의회
LG-41610,경기도 광주시,local_gov,경기도,광주시,41610,,
CN-41610,경기도 광주시의회,council,경기도,광주시,41610,LG-41610,
LG-41630,경기도 양주시,local_gov,경기도,양주시,41630,,
CN-41630,경기도 양주시의회,council,경기도,양주시,41630,LG-41630,
LG-41650,경기도 포천시,local_gov,경기도,포천시,41650,,
CN-41650,경기도 포천시의회,council,경기도,포천시,41650,LG-41650,
LG-41670,경기도 여주시,local_gov,경기도,여주시,41670,,
CN-41670,경기도 여주시의회,council,경기도,여주시,41670,LG-41670,
LG-41800,경기도 연천군,local_gov,경기도,연천군,41800,,
CN-41800,경기도 연천군의회,council,경기도,연천군,41800,LG-41800,
LG-41820,경기도 가평군,local_gov,경기도,가평군,41820,,
CN-41820,경기도 가평군의회,council,경기도,가평군,41820,LG-41820,
LG-41830,경기도 양평군,local_gov,경기도,양평군,41830,,
CN-41830,경기도 양평군의회,council,경기도,양평군,41830,LG-41830,
LG-43000,충청북도,local_gov,충청북도,,43000,,
CN-43000,충청북도의회,council,충청북도,,43000,LG-43000,
EO-43000,충청북도교육청,education_office,충청북도,,43000,,
LG-43110,충청북도 청주시,local_gov,충청북도,청주시,43110,,
CN-43110,충청북도 청주시의회,council,충청북도,청주시,43110,LG-43110,
LG-43130,충청북도 충주시,local_gov,충청북도,충주시,43130,,
CN-43130,충청북도 충주시의회,council,충청북도,충주시,43130,LG-43130,
LG-43150,충청북도 제천시,local_gov,충청북도,제천시,43150,,
CN-43150,충청북도 제천시의회,council,충청북도,제천시,43150,LG-43150,
LG-43720,충청북도 보은군,local_gov,충청북도,보은군,43720,,
CN-43720,충청북도 보은군의회,council,충청북도,보은군,43720,LG-43720,
LG-43730,충청북도 옥천군,local_gov,충청북도,옥천군,43730,,
CN-43730,충청북도 옥천군의회,council,충청북도,옥천군,43730,LG-43730,
LG-43740,충청북도 영동군,local_gov,충청북도,영동군,43740,,
CN-43740,충청북도 영동군의회,council,충청북도,영동군,43740,LG-43740,
LG-43745,충청북도 증평군,local_gov,충청북도,증평군,43745,,
CN-43745,충청북도 증평군의회,council,충청북도,증평군,43745,LG-43745,
LG-43750,충청북도 진천군,local_gov,충청북도,진천군,43750,,
CN-43750,충청북도 진천군의회,council,충청북도,진천군,43750,LG-43750,
LG-43760,충청북도 괴산군,local_gov,충청북도,괴산군,43760,,
CN-43760,충청북도 괴산군의회,council,충청북도,괴산군,43760,LG-43760,
LG-43770,충청북도 음성군,local_gov,충청북도,음성군,43770,,
CN-43770,충청북도 음성군의회,council,충청북도,음성군,43770,LG-43770,
LG-43800,충청북도 단양군,local_gov,충청북도,단양군,43800,,
CN-43800,충청북도 단양군의회,council,충청북도,단양군,43800,LG-43800,
LG-44000,충청남도,local_gov,충청남도,,44000,,
CN-44000,충청남도의회,council,충청남도,,44000,LG-44000,
EO-44000,충청남도교육청,education_office,충청남도,,44000,,
LG-44130,충청남도 천안시,local_gov,충청남도,천안시,44130,,
CN-44130,충청남도 천안시의회,council,충청남도,천안시,44130,LG-44130,
LG-44150,충청남도 공주시,local_gov,충청남도,공주시,44150,,
CN-44150,충청남도 공주시의회,council,충청남도,공주시,44150,LG-44150,
LG-44180,충청남도 보령시,local_gov,충청남도,보령시,44180,,
CN-44180,충청남도 보령시의회,council,충청남도,보령시,44180,LG-44180,
LG-44200,충청남도 아산시,local_gov,충청남도,아산시,44200,,
CN-44200,충청남도 아산시의회,council,충청남도,아산시,44200,LG-44200,
LG-44210,충청남도 서산시,local_gov,충청남도,서산시,44210,,
CN-44210,충청남도 서산시의회,council,충청남도,서산시,44210,LG-44210,
LG-44230,충청남도 논산시,local_gov,충청남도,논산시,44230,,
CN-44230,충청남도 논산시의회,council,충청남도,논산시,44230,LG-44230,
LG-44250,충청남도 계룡시,local_gov,충청남도,계룡시,44250,,
CN-44250,충청남도 계룡시의회,council,충청남도,계룡시,44250,LG-44250,
LG-44270,충청남도 당진시,local_gov,충청남도,당진시,44270,,
CN-44270,충청남도 당진시의회,council,충청남도,당진시,44270,LG-44270,
LG-44710,충청남도 금산군,local_gov,충청남도,금산군,44710,,
CN-44710,충청남도 금산군의회,council,충청남도,금산군,44710,LG-44710,
LG-44760,충청남도 부여군,local_gov,충청남도,부여군,44760,,
CN-44760,충청남도 부여군의회,council,충청남도,부여군,44760,LG-44760,
LG-44770,충청남도 서천군,local_gov,충청남도,서천군,44770,,
CN-44770,충청남도 서천군의회,council,충청남도,서천군,44770,LG-44770,
LG-44790,충청남도 청양군,local_gov,충청남도,청양군,44790,,
CN-44790,충청남도 청양군의회,council,충청남도,청양군,44790,LG-44790,
LG-44800,충청남도 홍성군,local_gov,충청남도,홍성군,44800,,
CN-44800,충청남도 홍성군의회,council,충청남도,홍성군,44800,LG-44800,
LG-44810,충청남도 예산군,local_gov,충청남도,예산군,44810,,
CN-44810,충청남도 예산군의회,council,충청남도,예산군,44810,LG-44810,
LG-44825,충청남도 태안군,local_gov,충청남도,태안군,44825,,
CN-44825,충청남도 태안군의회,council,충청남도,태안군,44825,LG-44825,
LG-46000,전라남도,local_gov,전라남도,,46000,,
CN-46000,전라남도의회,council,전라남도,,46000,LG-46000,
EO-46000,전라남도교육청,education_office,전라남도,,46000,,
LG-46110,전라남도 목포시,local_gov,전라남도,목포시,46110,,
CN-46110,전라남도 목포시의회,council,전라남도,목포시,46110,LG-46110,
LG-46130,전라남도 여수시,local_gov,전라남도,여수시,46130,,
CN-46130,전라남도 여수시의회,council,전라남도,여수시,46130,LG-46130,
LG-46150,전라남도 순천시,local_gov,전라남도,순천시,46150,,순천시청|순천시
CN-46150,전라남도 순천시의회,council,전라남도,순천시,46150,LG-46150,순천시의회
LG-46170,전라남도 나주시,local_gov,전라남도,나주시,46170,,
CN-46170,전라남도 나주시의회,council,전라남도,나주시,46170,LG-46170,
LG-46230,전라남도 광양시,local_gov,전라남도,광양시,46230,,
CN-46230,전라남도 광양시의회,council,전라남도,광양시,46230,LG-46230,
LG-46710,전라남도 담양군,local_gov,전라남도,담양군,46710,,
CN-46710,전라남도 담양군의회,council,전라남도,담양군,46710,LG-46710,
LG-46720,전라남도 곡성군,local_gov,전라남도,곡성군,46720,,
CN-46720,전라남도 곡성군의회,council,전라남도,곡성군,46720,LG-46720,
LG-46730,전라남도 구례군,local_gov,전라남도,구례군,46730,,
CN-46730,전라남도 구례군의회,council,전라남도,구례군,46730,LG-46730,
LG-46770,전라남도 고흥군,local_gov,전라남도,고흥군,46770,,
CN-46770,전라남도 고흥군의회,council,전라남도,고흥군,46770,LG-46770,
LG-46780,전라남도 보성군,local_gov,전라남도,보성군,46780,,
CN-46780,전라남도 보성군의회,council,전라남도,보성군,46780,LG-46780,
LG-46790,전라남도 화순군,local_gov,전라남도,화순군,46790,,
CN-46790,전라남도 화순군의회,council,전라남도,화순군,46790,LG-46790,
LG-46800,전라남도 장흥군,local_gov,전라남도,장흥군,46800,,
CN-46800,전라남도 장흥군의회,council,전라남도,장흥군,46800,LG-46800,
LG-46810,전라남도 강진군,local_gov,전라남도,강진군,46810,,
CN-46810,전라남도 강진군의회,council,전라남도,강진군,46810,LG-46810,
LG-46820,전라남도 해남군,local_gov,전라남도,해남군,46820,,
CN-46820,전라남도 해남군의회,council,전라남도,해남군,46820,LG-46820,
LG-46830,전라남도 영암군,local_gov,전라남도,영암군,46830,,
CN-46830,전라남도 영암군의회,council,전라남도,영암군,46830,LG-46830,
LG-46840,전라남도 무안군,local_gov,전라남도,무안군,46840,,
CN-46840,전라남도 무안군의회,council,전라남도,무안군,46840,LG-46840,
LG-46860,전라남도 함평군,local_gov,전라남도,함평군,46860,,
CN-46860,전라남도 함평군의회,council,전라남도,함평군,46860,LG-46860,
LG-46870,전라남도 영광군,local_gov,전라남도,영광군,46870,,
CN-46870,전라남도 영광군의회,council,전라남도,영광군,46870,LG-46870,
LG-46880,전라남도 장성군,local_gov,전라남도,장성군,46880,,
CN-46880,전라남도 장성군의회,council,전라남도,장성군,46880,LG-46880,
LG-46890,전라남도 완도군,local_gov,전라남도,완도군,46890,,
CN-46890,전라남도 완도군의회,council,전라남도,완도군,46890,LG-46890,
LG-46900,전라남도 진도군,local_gov,전라남도,진도군,46900,,
CN-46900,전라남도 진도군의회,council,전라남도,진도군,46900,LG-46900,
LG-46910,전라남도 신안군,local_gov,전라남도,신안군,46910,,
CN-46910,전라남도 신안군의회,council,전라남도,신안군,46910,LG-46910,
LG-47000,경상북도,local_gov,경상북도,,47000,,
CN-47000,경상북도의회,council,경상북도,,47000,LG-47000,
EO-47000,경상북도교육청,education_office,경상북도,,47000,,
PA-EXKR,한국도로공사,public_agency,경상북도,,47230,,도로공사|한국도로공사 본사
LG-47110,경상북도 포항시,local_gov,경상북도,포항시,47110,,포항시청|포항시
CN-47110,경상북도 포항시의회,council,경상북도,포항시,47110,LG-47110,포항시의회
LG-47130,경상북도 경주시,local_gov,경상북도,경주시,47130,,
CN-47130,경상북도 경주시의회,council,경상북도,경주시,47130,LG-47130,
LG-47150,경상북도 김천시,local_gov,경상북도,김천시,47150,,
CN-47150,경상북도 김천시의회,council,경상북도,김천시,47150,LG-47150,
LG-47170,경상북도 안동시,local_gov,경상북도,안동시,47170,,
CN-47170,경상북도 안동시의회,council,경상북도,안동시,47170,LG-47170,
LG-47190,경상북도 구미시,local_gov,경상북도,구미시,47190,,
CN-47190,경상북도 구미시의회,council,경상북도,구미시,47190,LG-47190,
LG-47210,경상북도 영주시,local_gov,경상북도,영주시,47210,,
CN-47210,경상북도 영주시의회,council,경상북도,영주시,47210,LG-47210,
LG-47230,경상북도 영천시,local_gov,경상북도,영천시,47230,,
CN-47230,경상북도 영천시의회,council,경상북도,영천시,47230,LG-47230,
LG-47250,경상북도 상주시,local_gov,경상북도,상주시,47250,,
CN-47250,경상북도 상주시의회,council,경상북도,상주시,47250,LG-47250,
LG-47280,경상북도 문경시,local_gov,경상북도,문경시,47280,,
CN-47280,경상북도 문경시의회,council,경상북도,문경시,47280,LG-47280,
LG-47290,경상북도 경산시,local_gov,경상북도,경산시,47290,,
CN-47290,경상북도 경산시의회,council,경상북도,경산시,47290,LG-47290,
LG-47730,경상북도 의성군,local_gov,경상북도,의성군,47730,,
CN-47730,경상북도 의성군의회,council,경상북도,의성군,47730,LG-47730,
LG-47750,경상북도 청송군,local_gov,경상북도,청송군,47750,,
CN-47750,경상북도 청송군의회,council,경상북도,청송군,47750,LG-47750,
LG-47760,경상북도 영양군,local_gov,경상북도,영양군,47760,,
CN-47760,경상북도 영양군의회,council,경상북도,영양군,47760,LG-47760,
LG-47770,경상북도 영덕군,local_gov,경상북도,영덕군,47770,,
CN-47770,경상북도 영덕군의회,council,경상북도,영덕군,47770,LG-47770,
LG-47820,경상북도 청도군,local_gov,경상북도,청도군,47820,,
